,Seite,Textstelle,Metapher?,Fokus,Rahmen,"Stärkegrad (A, B, C)",Begründung/Kommentar,Annotator,Unnamed: 2,Semantikerweiterung?,Unersetzlich?,sprachlich irregulär?,pointiert?
2070,,Auch das ist beim Künstler nicht anders.,Metaphernkandidat,,,,,P,,,,,
2071,,"Die zunehmende Jntellektualisierung und Rationalisierung bedeutet also nicht eine zunehmende allgemeine Kenntnis der Lebensbedingungen, unter denen man steht. sondern sie bedeutet etwas anderes: das Wissen davon oder den Glauben daran: daß man, wenn man nur wollte, es jederzeit erfahren könnte, daß es also prinzipiell keine geheimnisvollen unberechenbaren Mächte gebe, die da hineinspielen, daß man vielmehr alle Dinge – im Prinzip – durch Berechnen beherrschen könne.",Metaphernkandidat,,,,,P,,,,,
2072,,Das aber bedeutet: die Entzauberung der Welt.,Metaphernkandidat,,,,,P,,,,,
2073,,"Denn er erhascht von dem, was das Leben des Geistes stets neu gebiert, ja nur den winzigsten Teil, und immer nur etwas Vorläufiges, nichts Endgültiges, und deshalb ist der Tod für ihn eine sinnlose Begebenheit.",Metapher,neu gebiert,das Leben des Geistes,A,,P,,,,,
2074,,"Heute ist die Empfindung gerade der Jugend wohl eher die umgekehrte: Die Gedankengebilde der Wissenschaft sind ein hinterweltliches Reich von künstlichen Abstraktionen, die mit ihren dürren Händen Blut und saft des wirklichen Lebens einzufangen trachten, ohne es doch je zu erhaschen.",Metapher,mit ihren dürren Händen,Die Gedankengebilde der Wissenschaft,C,,P,,,,,
2075,,"Heute ist die Empfindung gerade der Jugend wohl eher die umgekehrte: Die Gedankengebilde der Wissenschaft sind ein hinterweltliches Reich von künstlichen Abstraktionen, die mit ihren dürren Händen Blut und saft des wirklichen Lebens einzufangen trachten, ohne es doch je zu erhaschen.",Metapher,Blut und saft,des wirklichen Lebens,B,,P,,,,,
2076,,"Hier im Leben aber, in dem, was für Platon das schattenspiel an den Wänden der Höhle war, pulsiert die wirkliche Realität: das andere sind von ihr abgeleitete und leblose Gespenster und sonst nichts.",Metapher,pulsiert,die wirkliche Realität,B,,P,,,,,
2077,,Wie vollzog sich diese Wandlung?,Metaphernkandidat,,,,,P,,,,,
2078,,"Hier zum erstenmal schien ein Mittel zur Hand, womit man jemanden in den logischen schraubstock setzen konnte, so daß er nicht herauskam, ohne zuzugeben: entweder daß er nichts wisse: oder daß dies und nichts anderes die Wahrheit sei, die ewige Wahrheit, die nie vergehen würde, wie das Tun und Treiben der blinden Menschen.",Metapher,logischen,schraubstock,B,,P,,,,,
2079,,"Wenn irgend etwas, so sind sie geeignet, den Glauben daran: daß es so etwas wie einen „sinn“ der Welt gebe, in der Wurzel absterben zu lassen!",Metapher,in der Wurzel,absterben zu lassen,A,,P,,,,,
2080,,"Die Worte, die man braucht, sind dann nicht Mittel wissenschaftlicher Analyse, sondern politischen Werbens um die stellungnahme der anderen. sie sind nicht Pflugscharen zur Lockerung des Erdreiches des kontemplativen Denkens, sondern schwerter gegen die Gegner: Kampfmittel.",Metapher,sind nicht Pflugscharen,sie,,,P,,,,,
2081,,"Die Worte, die man braucht, sind dann nicht Mittel wissenschaftlicher Analyse, sondern politischen Werbens um die stellungnahme der anderen. sie sind nicht Pflugscharen zur Lockerung des Erdreiches des kontemplativen Denkens, sondern schwerter gegen die Gegner: Kampfmittel.",Metapher,schwerter gegen die Gegner: Kampfmittel,Die Worte,,,P,,,,,
2082,,Dann setzt er sich der schärfsten Kritik vor dem Forum seines eigenen Gewissens aus.,Metaphernkandidat,,,,,P,,,,,
2083,,"Der großartige Rationalismus der ethisch-methodischen Lebensführung, der aus jeder religiösen Prophetie quillt, hatte diese Vielgötterei entthront zugunsten des „Einen, das not tut“ – und hatte dann, angesichts der Realitäten des äußeren und inneren Lebens, sich zu jenen Kompromissen und Relativierungen genötigt gesehen, die wir alle aus der Geschichte des Christentums kennen.",Metapher,der aus jeder religiösen Prophetie quillt,Der großartige Rationalismus,B,,P,,,,,
2084,,Denn schwäche ist es: dem schicksal der Zeit nicht in sein ernstes Antlitz blicken zu können.,Metapher,in sein ernstes Antlitz blicken,dem schicksal der Zeit,B,,P,,,,,
2085,,"Und fühlt er sich zum Eingreifen in die Kämpfe der Weltanschauungen und Parteimeinungen berufen, so möge er das draußen auf dem Markt des Lebens tun: in der Presse, in Versammlungen, in Vereinen, wo immer er will.",Metapher,des Lebens,draußen auf dem Markt,A,,P,,,,,
2086,,"Zunächst natürlich: Kenntnisse über die Technik, wie man das Leben, die äußeren Dinge sowohl wie das Handeln der Menschen, durch Berechnung beherrscht: – nun, das ist aber doch nur die Gemüsefrau des amerikanischen Knaben, werden sie sagen.",Metaphernkandidat,,,,,P,,,,,
2087,,"Zweitens, was diese Gemüsefrau schon immerhin nicht tut: Methoden des Denkens, das Handwerkszeug und die schulung dazu.
sie werden vielleicht sagen: nun, das ist nicht Gemüse, aber es ist auch nicht mehr als das Mittel, sich Gemüse zu verschaffen.",Metaphernkandidat,,,,,P,,,,,
2088,,"Es ist weder zufällig, daß unsere höchste Kunst eine intime und keine monumentale ist, noch daß heute nur innerhalb der kleinsten Gemeinschaftskreise, von Mensch zu Mensch, im pianissimo, jenes Etwas pulsiert, das dem entspricht, was früher als prophetisches Pneuma in stürmischem Feuer durch die großen Gemeinden ging und sie zusammenschweißte.",Metaphernkandidat,,,,,P,,,,,
2089,,"Die aber ist schlicht und einfach, wenn jeder den Dämon findet und ihm gehorcht, der seines Lebens Fäden hält.",Metaphernkandidat,,,,,P,,,,,
2090,,"Die Wissenschaft soll dir nicht Milchkuh sein; denn, wenn du im studium nichts anderes suchst als die Vorbereitung für deinen Beruf, der dich nähren soll, wird dir die Wissenschaft fremd bleiben.",Metaphernkandidat,,,,,P,,,,,
2091,,"Du wirst verbürgern, nicht Diener des Geistes, sondern Knecht des Geldes sein, jetzt und immer.",Metaphernkandidat,,,,,P,,,,,
2092,,"Jeder junge Mann, der sich zum Gelehrten berufen fühlt, muß sich vielmehr klarmachen, daß die Aufgabe, die ihn erwartet, ein Doppelgesicht hat.",Metaphernkandidat,,,,,B,,,,,
2093,,"Die Hausagrarier der Universitätsstädte feiern den tausendsten studenten durch eine Festlichkeit, den zweitausendsten studenten aber am liebsten durch einen Fackelzug.",Metaphernkandidat,,,,,B,,,,,
2094,,"Und wer also nicht die Fähigkeit besitzt, sich einmal sozusagen scheuklappen anzuziehen und sich hineinzusteigern in die Vorstellung, daß das schicksal seiner seele davon abhängt: ob er diese, gerade diese Konjektur an dieser stelle dieser Handschrift richtig macht, der bleibe der Wissenschaft nur ja fern.",Metaphernkandidat,,,,,B,,,,,
2095,,"Niemals wird er in sich das durchmachen, was man das „Erlebnis“ der Wissenschaft nennen kann.",Metaphernkandidat,,,,,B,,,,,
2096,,"Ohne diesen seltsamen, von jedem Draußenstehenden belächelten Rausch, diese Leidenschaft, dieses: „Jahrtausende mußten vergehen, ehe du ins Leben tratest, und andere Jahrtausende warten schweigend“: – darauf, ob dir diese Konjektur gelingt, hat einer den Beruf zur Wissenschaft nicht und tue etwas anderes.",Metaphernkandidat,,,,,B,,,,,
2097,,"Auf dem Gebiet der Wissenschaft aber ist derjenige ganz gewiß keine „Persönlichkeit“, der als Jmpresario der sache, der er sich hingeben sollte, mit auf die Bühne tritt, sich durch „Erleben“ legitimieren möchte und fragt: Wie beweise ich, daß ich etwas anderes bin als nur ein „Fachmann“, wie mache ich es, daß ich, in der Form oder in der sache, etwas sage, das so noch keiner gesagt hat wie ich: – eine heute massenhaft auftretende Erscheinung, die überall kleinlich wirkt, und die denjenigen herabsetzt, der so fragt, statt daß ihn die innere Hingabe an die Aufgabe und nur an sie auf die Höhe und zu der Würde der sache emporhöbe, der er zu dienen vorgibt.",Metaphernkandidat,,,,,B,,,,,
2098,,Auch das ist beim Künstler nicht anders.,Metaphernkandidat,,,,,B,,,,,
2099,,"Die zunehmende Jntellektualisierung und Rationalisierung bedeutet also nicht eine zunehmende allgemeine Kenntnis der Lebensbedingungen, unter denen man steht. sondern sie bedeutet etwas anderes: das Wissen davon oder den Glauben daran: daß man, wenn man nur wollte, es jederzeit erfahren könnte, daß es also prinzipiell keine geheimnisvollen unberechenbaren Mächte gebe, die da hineinspielen, daß man vielmehr alle Dinge – im Prinzip – durch Berechnen beherrschen könne.",Metaphernkandidat,,,,,B,,,,,
2100,,Das aber bedeutet: die Entzauberung der Welt.,Metaphernkandidat,,,,,B,,,,,
2101,,"Denn er erhascht von dem, was das Leben des Geistes stets neu gebiert, ja nur den winzigsten Teil, und immer nur etwas Vorläufiges, nichts Endgültiges, und deshalb ist der Tod für ihn eine sinnlose Begebenheit.",Metaphernkandidat,,,,,B,,,,,
2102,,"Heute ist die Empfindung gerade der Jugend wohl eher die umgekehrte: Die Gedankengebilde der Wissenschaft sind ein hinterweltliches Reich von künstlichen Abstraktionen, die mit ihren dürren Händen Blut und saft des wirklichen Lebens einzufangen trachten, ohne es doch je zu erhaschen.",Metaphernkandidat,,,,,B,,,,,
2103,,"Hier im Leben aber, in dem, was für Platon das schattenspiel an den Wänden der Höhle war, pulsiert die wirkliche Realität: das andere sind von ihr abgeleitete und leblose Gespenster und sonst nichts.",Metaphernkandidat,,,,,B,,,,,
2104,,Wie vollzog sich diese Wandlung?,Metaphernkandidat,,,,,B,,,,,
2105,,"Hier zum erstenmal schien ein Mittel zur Hand, womit man jemanden in den logischen schraubstock setzen konnte, so daß er nicht herauskam, ohne zuzugeben: entweder daß er nichts wisse: oder daß dies und nichts anderes die Wahrheit sei, die ewige Wahrheit, die nie vergehen würde, wie das Tun und Treiben der blinden Menschen.",Metapher,schraubstock,logischen,B,,B,,,,,
2106,,"Wenn irgend etwas, so sind sie geeignet, den Glauben daran: daß es so etwas wie einen „sinn“ der Welt gebe, in der Wurzel absterben zu lassen!",Metaphernkandidat,,,,,B,,,,,
2107,,"Die Worte, die man braucht, sind dann nicht Mittel wissenschaftlicher Analyse, sondern politischen Werbens um die stellungnahme der anderen. sie sind nicht Pflugscharen zur Lockerung des Erdreiches des kontemplativen Denkens, sondern schwerter gegen die Gegner: Kampfmittel.",Metapher,Pflugscharen zur Lockerung des Erdreiches,des kontemplativen Denkens,B,,B,,,,,
2108,,Dann setzt er sich der schärfsten Kritik vor dem Forum seines eigenen Gewissens aus.,Metaphernkandidat,,,,,B,,,,,
2109,,"Der großartige Rationalismus der ethisch-methodischen Lebensführung, der aus jeder religiösen Prophetie quillt, hatte diese Vielgötterei entthront zugunsten des „Einen, das not tut“ – und hatte dann, angesichts der Realitäten des äußeren und inneren Lebens, sich zu jenen Kompromissen und Relativierungen genötigt gesehen, die wir alle aus der Geschichte des Christentums kennen.",Metaphernkandidat,,,,,B,,,,,
2110,,Denn schwäche ist es: dem schicksal der Zeit nicht in sein ernstes Antlitz blicken zu können.,Metaphernkandidat,,,,,B,,,,,
2111,,"Und fühlt er sich zum Eingreifen in die Kämpfe der Weltanschauungen und Parteimeinungen berufen, so möge er das draußen auf dem Markt des Lebens tun: in der Presse, in Versammlungen, in Vereinen, wo immer er will.",Metaphernkandidat,,,,,B,,,,,
2112,,"Zunächst natürlich: Kenntnisse über die Technik, wie man das Leben, die äußeren Dinge sowohl wie das Handeln der Menschen, durch Berechnung beherrscht: – nun, das ist aber doch nur die Gemüsefrau des amerikanischen Knaben, werden sie sagen.",Metaphernkandidat,,,,,B,,,,,
2113,,"Zweitens, was diese Gemüsefrau schon immerhin nicht tut: Methoden des Denkens, das Handwerkszeug und die schulung dazu.
sie werden vielleicht sagen: nun, das ist nicht Gemüse, aber es ist auch nicht mehr als das Mittel, sich Gemüse zu verschaffen.",Metaphernkandidat,,,,,B,,,,,
2114,,"Es ist weder zufällig, daß unsere höchste Kunst eine intime und keine monumentale ist, noch daß heute nur innerhalb der kleinsten Gemeinschaftskreise, von Mensch zu Mensch, im pianissimo, jenes Etwas pulsiert, das dem entspricht, was früher als prophetisches Pneuma in stürmischem Feuer durch die großen Gemeinden ging und sie zusammenschweißte.",Metaphernkandidat,,,,,B,,,,,
2115,,"Die aber ist schlicht und einfach, wenn jeder den Dämon findet und ihm gehorcht, der seines Lebens Fäden hält.",Metaphernkandidat,,,,,B,,,,,
2116,,"Die Wissenschaft soll dir nicht Milchkuh sein; denn, wenn du im studium nichts anderes suchst als die Vorbereitung für deinen Beruf, der dich nähren soll, wird dir die Wissenschaft fremd bleiben.",Metaphernkandidat,,,,,B,,,,,
2117,,"Du wirst verbürgern, nicht Diener des Geistes, sondern Knecht des Geldes sein, jetzt und immer.",Metaphernkandidat,,,,,B,,,,,
2118,,"Das einzige, was hier hilft, um die Debitbilanz in Schranken zu halten, sind Schutzzölle von der Höhe der Fabrikschornsteine.",Metaphernkandidat,,,,,T,,,,,
2119,,"Kapitän Mahan nennt das Meer »a great Common««, das ist ein der Welt gehörender offener Raum, auf welchem jedermann sich nach Belieben in jeder Richtung hin und her bewegen kann, ein Raum, der allen und jedermann gehört.",Metaphernkandidat,,,,,T,,,,,
2120,,"Feiglinge zu Hause, aber Löwen der übrigen Welt gegenüber.",Metaphernkandidat,,,,,T,,,,,
2121,,"Aber der Selbsterhaltungstrieb ist ein ebenso wirksamer Agent und auch unterstützt durch »the survival of the fittest«; daher verändert das Wild seine Lebensweise so, daß das Gleichgewicht wiederhergestellt wird.",Metaphernkandidat,,,,,T,,,,,
2122,,"In England hat sich die Arbeiterfrage auf gesetzlichem Wege wohl am klarsten entwickelt, ohne durch Sozialismus oder Anarchismus verdunkelt zu werden.",Metapher,verdunkelt,Arbeiterfrage,A,,T,,,,,
2123,,"Die Städte an diesen großen Wasserwegen entwickelten sich zuerst, und als die Eisenbahnen anfingen gebaut zu werden, wurden die meisten der schon gegründeten Städte die Knotenpunkte der Eisenbahnen und des sich nun sehr Mich entwickelnden Verkehres mit dem Innern des Landes.",Metaphernkandidat,,,,,T,,,,,
2124,,"Das Meer ist eine große Heerstraße nach allen Teilen der Erde und offen für jeden, der es befahren will oder kann.",Metaphernkandidat,,,,,T,,,,,
2125,,"[1]: Vorher weilt er in ununterbrochener Finsternis, nachher im Lichte der Wett, vorher allein in lautloser Stille, nachher in geräuschvoller Gesellschaft; vorher in immer derselben Wärme, nachher in kälterer Luft von schwankender TemperaturVorher bewegt er sich nur unwillkürlich wie ein Schlafender, überall unübersteiglichen Widerstand findend; nachher frei ohne die Schranken der Uteruswand 7).«.",Metaphernkandidat,,,,,K,,,,,
2126,,[2]: Gott hat mir das Siegel der Schönheit ausgedrückt.,Metaphernkandidat,,,,,K,,,,,
2127,,"[3]: Was Wunder, daß die israelitische Weisheit8) darin eins der größten Geheimnisse erblickte und im weiblichen Uterus die geheime Werkstatt des irdischen Ursprungs sah!",Metapher,die geheime Werkstatt des irdischen Ursprungs,im weiblichen Uterus,A,,K,,,,,
2128,,[4]: Zudem uiachte der Wohnplatz der Seele im Körper große Schwierigkeit; die Araber1) z. B. identifizieren sie mit dem Blut; die Turkotataren nahmen sie als im Atem2) enthalten an.,Metaphernkandidat,,,,,K,,,,,
2129,,"[5]: In den letzten Jahren ist endlich die Frage nach einer gleichartigen allgemein giltigen Transkription fremder Alphabete, besonders durch die Deutsche Morgenländische Gesellschaft, in Fluß gekommen.",Metaphernkandidat,,,,,K,,,,,
2130,,"[6]: Im späteren Alter verliert er die Munterkeit, Frische und Elastizität des Geistes, die ihn als Knaben so liebenswürdig und viel versprechend erscheinen läßt, durch Not und Sorge und das sein Leben ausfüllende Schöpfen mit dem Danaidentruge.",Metaphernkandidat,,,,,K,,,,,
2131,,"[7]: Das Reich kann vorläufig nicht so eingreifen, wie etwa bei der Südpolarexpeditiou, geschweige daß z. B. die Zentrnmsfraktion an sich, nicht aus realpolitischen Gründen wie andere Parteien, sondern einzig aus dem Grunde schon der« ganzen Sache ablehnend gegenüberstehen würde, weil hier der Teufel aus allen Knopflöchern guckt.",Metaphernkandidat,,,,,K,,,,,
2132,,"[8]: So band er das Geschlecht von heute an das vergangene Geschlecht von gestern, die Lebenden an die Toten, und statt wie andere Völker in die Morgenröte der Zukunft zu schauen und hoffnungsvoll hineinzuwandern in eine kommende bessere Zeit, steht das chinesische Volk und starrt in das Dunkel der Vergangenheit2).",Metaphernkandidat,,,,,K,,,,,
2133,,"[9]: Bei diesen steht dem verhältnismäßig kleinen 10) G.laser, Geschichte und Geographie Arabiens II, 889. 11) Bambery, ebenda S. 253. 12) Pallas, Reise durch verschiedene Provinzen des Russischen Reichs I, 224. 13) Schweinfurth, Im Herzen von Afrika, S. 39. 14) Strabo XV11, 2, l. 15) Scl)1veinfur1h, ebenda S. 315. Natürliche und soziale Entwicklung 51 Hirnfchädel eine massige Entwicklung des Gesichts- und speziell des Kieferskeletts gegenüber, das von gewaltigen Muskeln beherrscht und mit furchtbaren Zähnen bewaffnet ist.",Metaphernkandidat,,,,,K,,,,,
2134,,"[10]: Der Satz: »Alles, was entsteht, ist wert daß es zu Grunde geht« konnte erst aus der geistigen Depression christlicher Weltanschauung hervorgehen, die mit dem Spinnennetz moralischer Vorurteile das ganze Weltall einzuhüllen beliebte.",Metapher,mit dem Spinnennetz moralischer Vorurteile,das ganze Weltall einzuhüllen,C,,K,,,,,
2135,,"[10]: Der Satz: »Alles, was entsteht, ist wert daß es zu Grunde geht« konnte erst aus der geistigen Depression christlicher Weltanschauung hervorgehen, die mit dem Spinnennetz moralischer Vorurteile das ganze Weltall einzuhüllen beliebte.",Metapher,Spinnennetz,moralischer Vorurteile,C,,K,,,,,
2136,,[11]: Der Chinese sticht in den vertrockneten Gebeinen vergangener Jahrhunderte nach den Prinzipien für die lebendige Gegenwart.,Metapher,vertrockneten Gebeinen,vergangener Jahrhunderte,C,,K,,,,,
2137,,"[12]: Der Wilde zählt im Sprechen addierend, während später gleich die Zahlsumme angegeben wird, deren Additionen, obwohl sie tatsächlich stets vollzogen werden, nicht mehr dem Hörer in ihren. vereinzelten Auslösungen vorgelegt iverde1113).",Metaphernkandidat,,,,,K,,,,,
2138,,[13]: Die Wurzeln aller Kräfte des einzelnen wie ganzer Völker ruhen in der (freien) Heimat.,Metaphernkandidat,,,,,K,,,,,
2139,,"[14]: »Mit der Auflösung des Firmamentes in optische Täuschungen mußte das in einen Winkel des Alls verwiesene Menschengeschlecht dem Stolze entsagen,. sich als Ziel der Weltordnung zu fühlen; und solcher Wahn konnte nur im Stillen Von solchen forterniihrt werden, die in doppelter Buchführung ein besonderes Konto für die biblische Kosmogonie nebenher führten, etwa von unbewußt durch die Jugendeindriicke biblischer Erziehung beeinflußten Philosophen 1).«.",Metaphernkandidat,,,,,K,,,,,
2140,,"[15]: So hat sich gleichsam eine versteinertesKruste gebildet, die das Volk umhüllt und von « der Außenwelt abschließt, eine zweite geistige chinesische Mauer, fester als  die Wan li Chong Cheng, die lange Stadt von 10 000 Meilen, die im  Laus der Jahrhunderte errichtet wurde, um das Land vor den räuberischen  Stämmen der Wüste zu schützen.«.",Metaphernkandidat,,,,,K,,,,,
2141,,"[16]: Es ist so natürlich, daß der Mensch, solange er die Vorteile nicht genossen hat, welche der Dienst der Ceres bringt, es lieber seiner Herde überläßt, durch ihre natürliche Vermehrung für seinen Nahrungsvorrat zu sorgen«, sagt der gleiche K. E. von Baer5.",Metaphernkandidat,,,,,K,,,,,
2142,,"[17]: Geschlecht von gestern, die Lebenden an die Toten, und statt wie andere Völker in die Morgenröte der Zukunft zu schauen und hoffnungsvoll hineinzuwandern in eine kommende bessere Zeit, steht das chinesische Volk und starrt in das Dunkel der Vergangenheit2.",Metaphernkandidat,,,,,K,,,,,
2143,,"[18]: Da man nun die Wucht der Tatsachen nicht ableugnen kann, andererseits aber doch z. B. Dipsomanie, Kretinismus oder Lepra nicht als im Urschöpfungsgedanken Gottes schon enthalten ansehen darf, so blieb nur der metaphysische Rettungsauker des Sündensalles, der als »Erbsünde« zu einer Art psychischen Krankheit gestempelt wurde.",Metaphernkandidat,,,,,K,,,,,
2144,,[19]: Die Persönlichkeit ist das heiligste Palladium des Menschentums.,Metapher,das heiligste Palladium,Die Persönlichkeit,B,,K,,,,,
2145,,"[20]: Mehrere der Bewohner von Thurso (in Nordschottland) erklärten7) mit einem gewissen Stolz, daß sie ,,Skandinavier« wären; und sie könnten wohl recht darin haben, da in früheren Zeiten diese Gegend ein Zufluchtsort nordischer Wikinge war, welche hier manchen harten und blutigen Strauß mit der keltischen Urbevölkerung des Landes auskämpften und sich schließlich eines Teiles des Küstenlaudes bemächtigten.",Metaphernkandidat,,,,,K,,,,,
2146,,"[21]: Und je weiter überhaupt die Abkömmlinge einer Spezies in Lebensweise, Organisation und Konstitution auseinandergehen, um so besser werden sie geeignet sein, viele und sehr verschiedene Stellen im Haushalt der Natur einzunehmen und somit an Zahl zuzunehmen.",Metaphernkandidat,,,,,K,,,,,
2147,,"[22]: Nissl sieht das »nervöse Grau« der Wirbeltiere nicht nur für einen nervös leitenden, sondern auch nervös funktionierenden Bestandteil des Zentralnervensystems an, indem er für dasselbe eine gleiche Struktur annimmt, wie sie das diffuse Elementargitter Apiithys besitzt5).",Metaphernkandidat,,,,,K,,,,,
2148,,"[23]: Die sogenannte Seele hat fünf Pforten, durch die sie mit der Aussenwelt verkehrt: Die suns Sinne9).",Metaphernkandidat,,,,,K,,,,,
2149,,[24]: Der ganze Vorgang der Zeugung und der embrhologischen Entwicklung erscheint in tiefes Dunkel gehüllt.,Metaphernkandidat,,,,,K,,,,,
2150,,"[25]: Ihre Überschreitung zieht unbedingt einen mehr oder weniger grellen Konflikt nach sich, sei es nur mit andern Menschen, sei es mit dem geschriebenen oder ungeschriebenen Gesetz.",Metapher,grellen,Konflikt,B,,K,,,,,
2151,,"[26]: Er gibt sich preis und vertraut sich dem Wellenspiele flüchtiger Gefühle ebenso an, wie er sich allen Zufällen ruhelosen Umherschweifens überliefert.",Metapher,Wellenspiele,flüchtiger Gefühle,B,,K,,,,,
2152,,"[27]: Die Manie aber, etwas Absolutes in ihr zu finden, hat das größte Unheil angerichtet Der Charakter innerer Allgemeinheit und Wahrheit, den schon Aristoteles2) ihr zuschrieb, ist eine Sophisterei dem System zuliebe.",Metaphernkandidat,,,,,K,,,,,
2153,,"[28]: Die Form des Altertums ist behalten, i aber Leben und Kraft sind vertrocknet.",Metaphernkandidat,,,,,K,,,,,
2154,,"[29]: Damit ist natürlich noch nicht gesagt, daß der rezente Mensch ein direkter Nachkomme von Pithekanthropus und homo Neandertalensjs fein muß. Wenigstens aber wird in morphologischer Hinsicht durch beide die Kluft überbrückt, die den Menschen Von den höheren Affen trennte.",Metaphernkandidat,,,,,K,,,,,
2155,,"[30]: Dessen Witwe Brunichild heiratete gegen Recht und kanonische Vorschrift ihren Neffen, Chilperichs Sohn Merovech Nach ihres Sohnes Childebert Tode beherrschte sie ihre Enkel Theodobert und Theodorich ganz, bis sie in die Hände Chlotars II. fällt, der die grauenhafteste Rache an dein bösen Dämon seines Geschlechtes nahm.",Metaphernkandidat,,,,,K,,,,,
2156,,"[31]: Was kann man noch sagen, was nicht schon die Alten besser und schöner« gesagt hätten, was kann Jman noch einrichten, was nicht schon in grauer Vorzeit als glänzendes «.«Vorbild ausgestellt wäre!",Metaphernkandidat,,,,,K,,,,,
2157,,"Die Sozialdemokraten predigen den Sozialismus als die Religion der Zukunft, ebenso wie die Apostel Jesu und Mohammed es für die christliche und mohammedanische Religion taten; wie diese konzentrieren sie ihre Anstrengungen auf die niederen und unbemittelten Klassen, und in ihren Versprechungen von Seligkeit übertrumper sie die beiden alten Religionen, indem sie ihren Proselyten das Himmelreich nicht erst im nächsten Leben, sondern schon in diesem Leben und auf Erden versprechen2).",Metapher,Religion der Zukunft,Sozialismus,A,,T,,,,,
2158,,"So lange diese Staaten nur unter sich konkurrierten, war keine allzugroße Gefahr vorhanden, aber dadurch, daß die beiden Riesen Amerika und Rußlaud in die Konkurrenz eintraten veränderte sich die Lage vollständig Rußland mit seiner Brutalität und Ländergier besetzt ein Land nach dem andern und schließt es von der Welt all; Amerika mit feiner energischen, aggressiven, rücksichtslosen und unersättlichen Dollargier will den ganzen Handel der Welt im Handumdrehen verschlingen.",Metaphernkandidat,,,,,T,,,,,
2159,,"Jeder Schritt Frankreichs, um Nußland in der Türkei oder dem Mittelmeer oder gegen die mitteleuropäischen Staaten zu helfen, ist ein Nagel zu seinem eigenen Sarg.",Metaphernkandidat,,,,,T,,,,,
2160,,"Es sei stark genug, seine eigenen politischen und wirtschaftlichen Ziele zu verfolgen, und es sei Zeit, kräftig die Axt an die Wurzel des zopftrockenen Stammes der Schutzzölle zu legen.«  Wie man sieht, nichts wie nichtssagende Tiraden und nicht ein einziges fachverftändiges Wort über die Produktionskosten der zu ermäßigenden Artikel in Deutschland und im Auslande.",Metaphernkandidat,,,,,T,,,,,
2161,,"Bei einer großen Anzahl von Gesetzen werden keine Mittel bewilligt, um dieselben zur Ausführung zu bringen, und sie bleiben infolgedessen tote Buchstaben.",Metaphernkandidat,,,,,T,,,,,
2162,,"Der Grund dieser Handlungsweise ist wohl ein doppelter; je mehr der Staat in dieser Richtung tut, desto weniger Ursache haben sie zu klagen und eine politische Agitation im Gange zu halten; außerdem, und dieses ist des Pudels Kern, desto weniger Aussicht werden sie je haben die Führerschaft zu erlangen, aber gerade darnach lechzt ihre Seele.  1) Vergl.",Metaphernkandidat,,,,,T,,,,,
2163,,"In ähnlicher Weise sollen noch mehrere andere Verträge in dem Wartezimmer des Senats aufgehängt sein In der cubanischen Frage hat der Senat eine Stellung eingenommen, welche nicht leicht zu rechtfertigen ist.",Metaphernkandidat,,,,,T,,,,,
2164,,"Die Amerikaner folgern, da sie alle Rohmaterialien selbst produzieren, und da sie ferner eine äußerst intelligente Bevölkerung besitzen (welche nicht nur sehr energisch ist, sondern sich auch sehr rasch vergrößert), daß es für sie am bestem ist alles, was sie bedürfen selbst zu fabrizieren (um nicht die Engländer damit zu belästigen); um Kapitalisten zu bewegen, die nötigen Fabriken zu errichten, umgeben sie sich mit einer turmhohen Mauer von Schutzzöllen, und erreichen dadurch, was sie gewollt haben, und was für die Nation am zweckmäßigsten ist.",Metaphernkandidat,,,,,T,,,,,
2165,,Sie könne bei ihrer jetzigen großen Kraft und Riesenhaftigkeit der mütterlichen Päppelflasche wohl entbehren.,Metaphernkandidat,,,,,T,,,,,
2166,,"Schwarze Flecken von Habgier, Raubsucht, Ungerechtigkeit, politischer Schacherei, Gelderpressung sind dick und groß auf ihnen.",Metaphernkandidat,,,,,T,,,,,
2167,,"Die Organisation, wie das natürlich ist, geht zeitweise zu weit, und es findet eine politische Revolution statt, in welcher Tammanh unterliegt; alsdann ist allgemeines »Soreeching of the american eagle«, und man hört hochklingende Phrasen und Editorials »Honesty redeemed« 2c., nur um nach zwei Jahren bei der nächsten Wahl, wenn die allgemeine Entrüstung verdunstet ist, die unverwüstliche Tammanhbande wieder am Ruder zu sehen.“

Werden dann die Vereinigten Staaten Schildwache über Canada stehen für den Fall eines Angriffs auf dasselbe?",Metaphernkandidat,,,,,T,,,,,
2168,,"Wenn wir als Materie des sozialen Lebens äußerlich im allgemeinen die Menschen bezeichnen, die sich gegenseitig als Mitglieder einer sozialen Vereinigung ansehen, so muß schon von vornherein angenommen werden, daß diese Materie nur äußerlich ein Aggregatzustand von Individuen ist: denn weder im Anfang, noch im gegenwärtigen, noch in irgend einem früheren Zustande des sozialen Lebens treten uns Individuen entgegen, die voneinander unabhängig und für das soziale Leben von einem von jeglicher Koalition unabhängigen Werte wären.",Metapher,ein Aggregatzustand,von Individuen,A,,K,,,,,
